Path;Travel weight;Elapsed time;Best solution;Deviation;Algorithm
1 6 2 5 7 4 3 1 ;87;0,0463955;87;-8800;DfsBruteForce
1 6 2 4 5 7 3 1 ;87;0,0001718;87;-8800;TspNN
7 3 1 6 2 4 5 7 ;87;30;87;-8800;TspRand
7 3 1 6 2 4 5 7 ;87;0,0106549;87;-8800;TspBabDfs
7 4 3 1 6 2 5 7 ;87;0,0108164;87;-8800;TspBabBfs
7 3 1 6 2 4 5 7 ;87;0,0133817;87;-8800;TspBabBestFs
1 7 6 5 3 2 4 1 ;93;0,0466088;93;-9400;DfsBruteForce
5 3 2 7 6 4 1 5 ;98;0,0001724;98;-9900;TspNN
2 6 5 3 4 1 7 2 ;93;30;93;-9400;TspRand
7 2 6 5 3 4 1 7 ;93;0,0135108;93;-9400;TspBabDfs
7 6 5 3 2 4 1 7 ;93;0,0142385;93;-9400;TspBabBfs
7 6 5 3 2 4 1 7 ;93;0,0176547;93;-9400;TspBabBestFs
1 5 2 6 3 7 4 1 ;87;0,047446;87;-8800;DfsBruteForce
2 6 3 7 4 1 5 2 ;87;0,0001411;87;-8800;TspNN
2 6 3 7 4 1 5 2 ;87;30;87;-8800;TspRand
7 4 1 5 2 6 3 7 ;87;0,0090164;87;-8800;TspBabDfs
7 4 1 5 2 6 3 7 ;87;0,0093731;87;-8800;TspBabBfs
7 4 1 5 2 6 3 7 ;87;0,0118194;87;-8800;TspBabBestFs
1 3 6 7 4 5 2 1 ;86;0,0468074;86;-8700;DfsBruteForce
5 2 1 3 7 4 6 5 ;103;0,0001426;103;-10400;TspNN
5 2 1 3 6 7 4 5 ;86;30;86;-8700;TspRand
7 4 5 2 1 3 6 7 ;86;0,0094395;86;-8700;TspBabDfs
7 4 5 2 1 3 6 7 ;86;0,0102213;86;-8700;TspBabBfs
7 4 5 2 1 3 6 7 ;86;0,0111105;86;-8700;TspBabBestFs
1 7 5 8 4 6 2 3 1 ;68;0,417322;68;-6900;DfsBruteForce
4 6 2 3 1 7 5 8 4 ;68;0,0001395;68;-6900;TspNN
8 4 6 2 3 1 7 5 8 ;68;60;68;-6900;TspRand
8 4 6 2 3 1 7 5 8 ;68;0,0187363;68;-6900;TspBabDfs
8 4 6 2 3 1 7 5 8 ;68;0,0189207;68;-6900;TspBabBfs
8 4 6 2 3 1 7 5 8 ;68;0,0240778;68;-6900;TspBabBestFs
1 5 6 3 7 2 4 8 1 ;63;0,410429;63;-6400;DfsBruteForce
1 4 8 5 6 3 7 2 1 ;65;0,0001271;65;-6600;TspNN
3 7 2 4 8 1 5 6 3 ;63;60;63;-6400;TspRand
8 1 5 6 3 7 2 4 8 ;63;0,0189118;63;-6400;TspBabDfs
8 1 5 6 3 7 2 4 8 ;63;0,0202689;63;-6400;TspBabBfs
8 1 5 6 3 7 2 4 8 ;63;0,0235576;63;-6400;TspBabBestFs
1 2 5 4 6 3 8 7 1 ;84;0,406255;84;-8500;DfsBruteForce
1 2 5 4 6 3 8 7 1 ;84;0,0001687;84;-8500;TspNN
1 2 5 4 6 3 8 7 1 ;84;60;84;-8500;TspRand
8 7 1 2 5 4 6 3 8 ;84;0,0313986;84;-8500;TspBabDfs
8 7 1 2 5 4 6 3 8 ;84;0,0315229;84;-8500;TspBabBfs
8 7 1 2 5 4 6 3 8 ;84;0,039652;84;-8500;TspBabBestFs
1 3 2 4 8 7 6 5 1 ;99;0,407311;99;-10000;DfsBruteForce
3 2 4 8 7 5 1 6 3 ;113;0,0001554;113;-11400;TspNN
6 5 1 3 2 4 8 7 6 ;99;60;99;-10000;TspRand
8 7 6 5 1 3 2 4 8 ;99;0,0290224;99;-10000;TspBabDfs
8 7 6 5 1 3 2 4 8 ;99;0,0307638;99;-10000;TspBabBfs
8 7 6 5 1 3 2 4 8 ;99;0,0335272;99;-10000;TspBabBestFs
1 5 2 4 6 3 7 8 1 ;70;0,409229;70;-7100;DfsBruteForce
8 5 2 4 6 3 7 1 8 ;83;0,000155;83;-8400;TspNN
6 3 7 8 1 5 2 4 6 ;70;60;70;-7100;TspRand
8 1 5 2 4 6 3 7 8 ;70;0,0356329;70;-7100;TspBabDfs
8 1 5 2 4 6 3 7 8 ;70;0,0381772;70;-7100;TspBabBfs
8 1 5 2 4 6 3 7 8 ;70;0,0443735;70;-7100;TspBabBestFs
1 5 4 8 7 6 3 2 1 ;101;0,407701;101;-10200;DfsBruteForce
1 5 4 8 7 6 3 2 1 ;101;0,0001798;101;-10200;TspNN
3 7 1 2 8 5 4 6 3 ;101;60;101;-10200;TspRand
8 5 4 6 3 7 1 2 8 ;101;0,061329;101;-10200;TspBabDfs
8 7 6 3 2 1 5 4 8 ;101;0,0616015;101;-10200;TspBabBfs
8 7 6 3 2 1 5 4 8 ;101;0,0804079;101;-10200;TspBabBestFs
1 7 8 4 5 3 6 2 1 ;60;0,411131;60;-6100;DfsBruteForce
5 3 6 2 1 7 8 4 5 ;60;0,0002051;60;-6100;TspNN
6 3 8 4 5 1 7 2 6 ;60;60;60;-6100;TspRand
8 4 5 1 7 2 6 3 8 ;60;0,0210327;60;-6100;TspBabDfs
8 4 5 3 6 2 1 7 8 ;60;0,0213735;60;-6100;TspBabBfs
8 4 5 3 6 2 1 7 8 ;60;0,0270817;60;-6100;TspBabBestFs
1 5 7 8 3 2 6 4 1 ;67;0,408981;67;-6800;DfsBruteForce
1 5 7 8 3 2 6 4 1 ;67;0,0001547;67;-6800;TspNN
6 4 1 5 7 8 3 2 6 ;67;60;67;-6800;TspRand
8 3 2 6 4 1 5 7 8 ;67;0,0201814;67;-6800;TspBabDfs
8 3 2 6 4 1 5 7 8 ;67;0,0218845;67;-6800;TspBabBfs
8 3 2 6 4 1 5 7 8 ;67;0,0253955;67;-6800;TspBabBestFs
1 2 5 7 6 4 3 8 1 ;75;0,410909;75;-7600;DfsBruteForce
7 6 4 2 5 3 8 1 7 ;87;0,0001818;87;-8800;TspNN
6 4 3 8 1 2 5 7 6 ;75;60;75;-7600;TspRand
8 1 2 5 7 6 4 3 8 ;75;0,026456;75;-7600;TspBabDfs
8 1 2 5 7 6 4 3 8 ;75;0,0271312;75;-7600;TspBabBfs
8 1 2 5 7 6 4 3 8 ;75;0,0326699;75;-7600;TspBabBestFs
1 7 4 6 3 8 5 2 1 ;55;0,411116;55;-5600;DfsBruteForce
3 8 4 1 7 5 2 6 3 ;73;0,0001982;73;-7400;TspNN
8 5 2 1 7 4 6 3 8 ;55;60;55;-5600;TspRand
8 5 2 1 7 4 6 3 8 ;55;0,0187056;55;-5600;TspBabDfs
8 5 2 1 7 4 6 3 8 ;55;0,0215687;55;-5600;TspBabBfs
8 5 2 1 7 4 6 3 8 ;55;0,0221021;55;-5600;TspBabBestFs
1 8 2 4 7 5 3 9 6 1 ;95;4,0009;95;-9600;DfsBruteForce
1 8 7 5 3 9 6 4 2 1 ;97;0,0002223;97;-9800;TspNN
9 6 1 8 2 4 7 5 3 9 ;95;0,218367;95;-9600;TspBabDfs
9 6 8 2 4 7 1 5 3 9 ;95;0,219549;95;-9600;TspBabBfs
9 6 1 8 2 4 7 5 3 9 ;95;0,267122;95;-9600;TspBabBestFs
1 4 8 6 2 9 7 5 3 1 ;77;3,9789;77;-7800;DfsBruteForce
4 8 2 9 7 5 3 6 1 4 ;84;0,0002006;84;-8500;TspNN
9 7 5 3 1 4 8 6 2 9 ;77;0,0966114;77;-7800;TspBabDfs
9 7 5 3 1 4 8 6 2 9 ;77;0,0991473;77;-7800;TspBabBfs
9 7 5 3 1 4 8 6 2 9 ;77;0,112003;77;-7800;TspBabBestFs
1 8 5 7 3 4 2 6 9 1 ;41;4,05409;41;-4200;DfsBruteForce
3 4 2 9 1 8 7 6 5 3 ;78;0,0002347;78;-7900;TspNN
9 1 8 5 7 3 4 2 6 9 ;41;0,018914;41;-4200;TspBabDfs
9 1 8 5 7 3 4 2 6 9 ;41;0,0366518;41;-4200;TspBabBfs
9 1 8 5 7 3 4 2 6 9 ;41;0,0213417;41;-4200;TspBabBestFs
1 3 9 8 6 7 5 2 4 1 ;124;3,97267;124;-12500;DfsBruteForce
6 7 5 2 4 1 9 8 3 6 ;143;0,0002128;143;-14400;TspNN
9 8 6 7 5 2 4 1 3 9 ;124;0,381929;124;-12500;TspBabDfs
9 8 6 7 5 2 4 1 3 9 ;124;0,408598;124;-12500;TspBabBfs
9 8 6 7 5 2 4 1 3 9 ;124;0,465806;124;-12500;TspBabBestFs
1 4 8 6 9 2 3 7 5 1 ;79;3,97603;79;-8000;DfsBruteForce
